"id","commodity","classification","grade","sex","market","wholesale","retail","supply_volume","county","date"
81,"Wheat","-","-","-","Bondeni","100.00/Kg","125.00/Kg","180.00","Trans-Nzoia","2024-01-23"
82,"Wheat","-","-","-","Maua","77.78/Kg","80.00/Kg","2700.00","Meru","2024-01-23"
83,"Wheat","-","-","-","Kawangware","81.00/Kg","90.00/Kg",NULL,"Nairobi","2024-01-23"
84,"Wheat","-","-","-","Kitale Municipality Market","85.00/Kg","125.00/Kg","300.00","Trans-Nzoia","2024-01-22"
85,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-22"
86,"Wheat","-","-","-","Othaya","66.67/Kg","135.00/Kg","3600.00","Nyeri","2024-01-22"
87,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2024-01-20"
88,"Wheat","-","-","-","Daraja Mbili","60.00/Kg","100.00/Kg","350.00","Kisii","2024-01-19"
89,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2024-01-19"
90,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-18"
91,"Wheat","-","-","-","Kawangware","81.11/Kg","90.00/Kg",NULL,"Nairobi","2024-01-18"
92,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-17"
93,"Wheat","-","-","-","Kawangware","81.11/Kg","90.00/Kg",NULL,"Nairobi","2024-01-17"
94,"Wheat","-","-","-","Maua","77.78/Kg","80.00/Kg","900.00","Meru","2024-01-16"
95,"Wheat","-","-","-","Nakuru Wakulima","65.00/Kg"," - ",NULL,"Nakuru","2024-01-16"
96,"Wheat","-","-","-","Nakuru Wakulima","60.00/Kg"," - ",NULL,"Nakuru","2024-01-15"
97,"Wheat","-","-","-","Kawangware","81.11/Kg","90.00/Kg",NULL,"Nairobi","2024-01-15"
98,"Wheat","-","-","-","Nakuru Wakulima","60.00/Kg"," - ",NULL,"Nakuru","2024-01-12"
99,"Wheat","-","-","-","Kitale Municipality Market","110.00/Kg","135.00/Kg","270.00","Trans-Nzoia","2024-01-11"
100,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2024-01-11"
101,"Wheat","-","-","-","Maua","77.78/Kg","80.00/Kg","990.00","Meru","2024-01-11"
102,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2024-01-11"
103,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","110.00/Kg","3500.00","Nandi","2024-01-09"
104,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2024-01-09"
105,"Wheat","-","-","-","Kawangware"," - ","90.00/Kg",NULL,"Nairobi","2024-01-09"
106,"Wheat","-","-","-","Bondeni","100.00/Kg","125.00/Kg","180.00","Trans-Nzoia","2024-01-09"
107,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2024-01-08"
108,"Wheat","-","-","-","Kawangware","80.00/Kg","90.00/Kg",NULL,"Nairobi","2024-01-08"
109,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2024-01-05"
110,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2024-01-04"
111,"Wheat","-","-","-","Kitale Municipality Market","125.00/Kg","150.00/Kg","170.00","Trans-Nzoia","2024-01-03"
112,"Wheat","-","-","-","Kitale Municipality Market","100.00/Kg","125.00/Kg","170.00","Trans-Nzoia","2024-01-03"
113,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2024-01-03"
114,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2024-01-02"
115,"Wheat","-","-","-","Kitale Municipality Market","110.00/Kg","135.00/Kg","170.00","Trans-Nzoia","2023-12-28"
116,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-28"
117,"Wheat","-","-","-","Daraja Mbili","60.00/Kg","72.00/Kg","270.00","Kisii","2023-12-28"
118,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-22"
119,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-21"
120,"Wheat","-","-","-","Miruka"," - ","125.00/Kg","540.00","Nyamira","2023-12-20"
121,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-20"
122,"Wheat","-","-","-","Maua","777.78/Kg","80.00/Kg","1080.00","Meru","2023-12-19"
123,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","110.00/Kg","20000.00","Nandi","2023-12-19"
124,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-19"
125,"Wheat","-","-","-","Nakuru Wakulima","66.67/Kg"," - ",NULL,"Nakuru","2023-12-18"
126,"Wheat","-","-","-","Bungoma town","76.63/Kg","114.94/Kg","350.00","Bungoma","2023-12-15"
127,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-15"
128,"Wheat","-","-","-","Maua","77.78/Kg","80.00/Kg","900.00","Meru","2023-12-14"
129,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-14"
130,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-13"
131,"Wheat","-","-","-","Nakuru Wakulima","72.22/Kg"," - ",NULL,"Nakuru","2023-12-11"
132,"Wheat","-","-","-","Bungoma town","76.92/Kg","115.38/Kg","400.00","Bungoma","2023-12-08"
133,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-08"
134,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2023-12-07"
135,"Wheat","-","-","-","Maua","77.78/Kg","80.00/Kg","900.00","Meru","2023-12-07"
136,"Wheat","-","-","-","Kebirigo","90.00/Kg","100.00/Kg","90.00","Nyamira","2023-12-07"
137,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-07"
138,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-12-06"
139,"Wheat","-","-","-","Kitale Municipality Market","100.00/Kg","125.00/Kg","200.00","Trans-Nzoia","2023-12-06"
140,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","110.00/Kg","10000.00","Nandi","2023-12-05"
141,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-12-05"
142,"Wheat","-","-","-","Kapsabet Market","90.00/Kg","100.00/Kg","2000.00","Nandi","2023-12-05"
143,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-12-04"
144,"Wheat","-","-","-","Ikonge"," - ","80.00/Kg","630.00","Nyamira","2023-12-03"
145,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-12-01"
146,"Wheat","-","-","-","Naivasha Market","60.00/Kg","80.00/Kg",NULL,"Nakuru","2023-12-01"
147,"Wheat","-","-","-","Daraja Mbili","90.00/Kg","110.00/Kg","70000.00","Kisii","2023-11-30"
148,"Wheat","-","-","-","Maua","77.78/Kg","80.00/Kg","900.00","Meru","2023-11-30"
149,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-11-30"
150,"Wheat","-","-","-","Nakuru Wakulima","60.00/Kg"," - ",NULL,"Nakuru","2023-11-29"
151,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2023-11-29"
152,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","110.00/Kg","7500.00","Nandi","2023-11-28"
153,"Wheat","-","-","-","Kapsabet Market","92.00/Kg","100.00/Kg","1500.00","Nandi","2023-11-28"
154,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-11-28"
155,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-11-27"
156,"Wheat","-","-","-","Kangemi Market"," - ","120.00/Kg",NULL,"Nairobi","2023-11-27"
157,"Wheat","-","-","-","Naivasha Market","60.00/Kg","70.00/Kg",NULL,"Nakuru","2023-11-27"
158,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-11-24"
159,"Wheat","-","-","-","Bahati","50.00/Kg","50.00/Kg","50.00","Nakuru","2023-11-23"
160,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-11-23"
161,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-11-22"
162,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","120.00/Kg","10000.00","Nandi","2023-11-21"
163,"Wheat","-","-","-","Maua","88.89/Kg","100.00/Kg","1440.00","Meru","2023-11-21"
164,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-11-21"
165,"Wheat","-","-","-","Kapsabet Market","92.00/Kg","100.00/Kg","1500.00","Nandi","2023-11-21"
166,"Wheat","-","-","-","Bondeni","66.67/Kg","77.78/Kg","180.00","Trans-Nzoia","2023-11-21"
167,"Wheat","-","-","-","Kangemi Market"," - ","130.00/Kg",NULL,"Nairobi","2023-11-20"
168,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-11-20"
169,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2023-11-20"
170,"Wheat","-","-","-","Kibiok","75.00/Kg","85.00/Kg","250.00","Nandi","2023-11-19"
171,"Wheat","-","-","-","Ikonge"," - ","80.00/Kg","630.00","Nyamira","2023-11-19"
172,"Wheat","-","-","-","Nakuru Top Market","50.00/Kg"," - ",NULL,"Nakuru","2023-11-17"
173,"Wheat","-","-","-","Kangemi Market"," - ","130.00/Kg",NULL,"Nairobi","2023-11-17"
174,"Wheat","-","-","-","Nakuru Top Market","50.00/Kg"," - ",NULL,"Nakuru","2023-11-16"
175,"Wheat","-","-","-","Kabiyet Market","110.00/Kg","120.00/Kg","5000.00","Nandi","2023-11-14"
176,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2023-11-14"
177,"Wheat","-","-","-","Kapsabet Market","92.00/Kg","100.00/Kg","1000.00","Nandi","2023-11-14"
178,"Wheat","-","-","-","Nakuru Top Market","70.00/Kg"," - ",NULL,"Nakuru","2023-11-10"
179,"Wheat","-","-","-","Nakuru Top Market","146.00/Kg"," - ",NULL,"Nakuru","2023-11-10"
180,"Wheat","-","-","-","Nakuru Top Market","70.00/Kg"," - ",NULL,"Nakuru","2023-11-09"
181,"Wheat","-","-","-","Maua","88.89/Kg","100.00/Kg","900.00","Meru","2023-11-09"
182,"Wheat","-","-","-","Nakuru Top Market","70.00/Kg"," - ",NULL,"Nakuru","2023-11-08"
183,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2023-11-08"
184,"Wheat","-","-","-","Kapsabet Market","92.00/Kg","100.00/Kg","1000.00","Nandi","2023-11-07"
185,"Wheat","-","-","-","Nakuru Top Market","57.78/Kg"," - ",NULL,"Nakuru","2023-11-06"
186,"Wheat","-","-","-","Nakuru Top Market"," - ","140.00/Kg",NULL,"Nakuru","2023-11-06"
187,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2023-11-06"
188,"Wheat","-","-","-","Ikonge"," - ","83.33/Kg","630.00","Nyamira","2023-11-05"
189,"Wheat","-","-","-","Kapsabet Market","92.00/Kg","100.00/Kg","1000.00","Nandi","2023-11-04"
190,"Wheat","-","-","-","Nakuru Top Market","57.78/Kg"," - ",NULL,"Nakuru","2023-11-03"
191,"Wheat","-","-","-","Chuka","65.00/Kg","90.00/Kg","400.00","Tharaka-Nithi","2023-11-03"
192,"Wheat","-","-","-","Kebirigo","125.00/Kg","140.00/Kg","90.00","Nyamira","2023-11-02"
193,"Wheat","-","-","-","Kangemi Market"," - ","120.00/Kg",NULL,"Nairobi","2023-11-02"
194,"Wheat","-","-","-","Nakuru Top Market","57.78/Kg"," - ",NULL,"Nakuru","2023-11-02"
195,"Wheat","-","-","-","Nakuru Top Market","57.78/Kg"," - ",NULL,"Nakuru","2023-11-01"
196,"Wheat","-","-","-","Nakuru Top Market","57.78/Kg"," - ",NULL,"Nakuru","2023-10-31"
197,"Wheat","-","-","-","Maua","88.89/Kg","100.00/Kg","1080.00","Meru","2023-10-31"
198,"Wheat","-","-","-","Bondeni","60.00/Kg","100.00/Kg","180.00","Trans-Nzoia","2023-10-31"
199,"Wheat","-","-","-","Kitale Municipality Market","180.00/Kg","300.00/Kg","520.00","Trans-Nzoia","2023-10-30"
200,"Wheat","-","-","-","Nakuru Top Market","600.00/Kg"," - ",NULL,"Nakuru","2023-10-30"
201,"Wheat","-","-","-","Kibiok","80.00/Kg","90.00/Kg","700.00","Nandi","2023-10-29"
202,"Wheat","-","-","-","Nakuru Wakulima","60.00/Kg"," - ",NULL,"Nakuru","2023-10-27"
203,"Wheat","-","-","-","Kebirigo","115.00/Kg","125.00/Kg","1800.00","Nyamira","2023-10-26"
204,"Wheat","-","-","-","Nakuru Wakulima","60.00/Kg"," - ",NULL,"Nakuru","2023-10-26"
205,"Wheat","-","-","-","Nakuru Top Market","120.00/Kg"," - ",NULL,"Nakuru","2023-10-25"
206,"Wheat","-","-","-","Kabiyet Market","190.00/Kg","200.00/Kg","10000.00","Nandi","2023-10-24"
207,"Wheat","-","-","-","Kapsabet Market","92.00/Kg","100.00/Kg","1000.00","Nandi","2023-10-24"
208,"Wheat","-","-","-","Bahati","90.00/Kg","90.00/Kg","90.00","Nakuru","2023-10-24"
209,"Wheat","-","-","-","Nakuru Wakulima","60.00/Kg"," - ",NULL,"Nakuru","2023-10-24"
210,"Wheat","-","-","-","Maua","80.00/Kg","100.00/Kg","1000.00","Meru","2023-10-24"
211,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-10-23"
212,"Wheat","-","-","-","Othaya","61.11/Kg","90.00/Kg","4500.00","Nyeri","2023-10-23"
213,"Wheat","-","-","-","Ikonge"," - ","80.00/Kg","630.00","Nyamira","2023-10-22"
214,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-10-19"
215,"Wheat","-","-","-","Nakuru Top Market","120.00/Kg"," - ",NULL,"Nakuru","2023-10-19"
216,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-10-18"
217,"Wheat","-","-","-","Gikomba"," - ","110.00/Kg",NULL,"Nairobi","2023-10-18"
218,"Wheat","-","-","-","Nakuru Top Market","120.00/Kg"," - ",NULL,"Nakuru","2023-10-18"
219,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","110.00/Kg","9000.00","Nandi","2023-10-17"
220,"Wheat","-","-","-","Maua","88.89/Kg","100.00/Kg","1000.00","Meru","2023-10-17"
221,"Wheat","-","-","-","Bondeni","100.00/Kg","120.00/Kg","500.00","Trans-Nzoia","2023-10-17"
222,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-10-17"
223,"Wheat","-","-","-","Nakuru Top Market","120.00/Kg"," - ",NULL,"Nakuru","2023-10-17"
224,"Wheat","-","-","-","Nakuru Top Market","180.00/Kg"," - ",NULL,"Nakuru","2023-10-16"
225,"Wheat","-","-","-","Nakuru Wakulima","70.00/Kg"," - ",NULL,"Nakuru","2023-10-16"
226,"Wheat","-","-","-","Ikonge"," - ","83.33/Kg","240.00","Nyamira","2023-10-15"
227,"Wheat","-","-","-","Kibiok","75.00/Kg","85.00/Kg","300.00","Nandi","2023-10-15"
228,"Wheat","-","-","-","Naivasha Market","60.00/Kg","80.00/Kg",NULL,"Nakuru","2023-10-13"
229,"Wheat","-","-","-","Nakuru Top Market","120.00/Kg"," - ",NULL,"Nakuru","2023-10-12"
230,"Wheat","-","-","-","Cheptiret - Uasin Gishu","40.00/Kg","50.00/Kg","3000.00","Uasin-Gishu","2023-10-12"
231,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-10-11"
232,"Wheat","-","-","-","Kapsabet Market","80.00/Kg","92.00/Kg","1200.00","Nandi","2023-10-11"
233,"Wheat","-","-","-","Gikomba"," - ","100.00/Kg",NULL,"Nairobi","2023-10-11"
234,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","110.00/Kg","4200.00","Nandi","2023-10-10"
235,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-10-09"
236,"Wheat","-","-","-","Naivasha Market","60.00/Kg","80.00/Kg",NULL,"Nakuru","2023-10-09"
237,"Wheat","-","-","-","Ikonge"," - ","83.33/Kg","930.00","Nyamira","2023-10-08"
238,"Wheat","-","-","-","Kapsabet Market","0.05/Kg","92.00/Kg","2500.00","Nandi","2023-10-07"
239,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-10-06"
240,"Wheat","-","-","-","Eldoret Main","100.00/Kg","110.00/Kg","2000.00","Uasin-Gishu","2023-10-06"
241,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-10-05"
242,"Wheat","-","-","-","Kebirigo","115.00/Kg","125.00/Kg","90.00","Nyamira","2023-10-05"
243,"Wheat","-","-","-","Nakuru Top Market","120.00/Kg"," - ",NULL,"Nakuru","2023-10-05"
244,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-10-04"
245,"Wheat","-","-","-","Nakuru Wakulima","150.00/Kg"," - ",NULL,"Nakuru","2023-10-04"
246,"Wheat","-","-","-","Nakuru Top Market","120.00/Kg"," - ",NULL,"Nakuru","2023-10-04"
247,"Wheat","-","-","-","Cheptiret - Uasin Gishu","60.00/Kg","75.00/Kg","3000.00","Uasin-Gishu","2023-10-04"
248,"Wheat","-","-","-","Kapsabet Market","80.00/Kg","92.00/Kg","1200.00","Nandi","2023-10-03"
249,"Wheat","-","-","-","Naivasha Market","60.00/Kg","80.00/Kg",NULL,"Nakuru","2023-10-03"
250,"Wheat","-","-","-","Kabiyet Market","100.00/Kg","115.00/Kg","7000.00","Nandi","2023-10-03"
251,"Wheat","-","-","-","Nakuru Wakulima","61.11/Kg"," - ",NULL,"Nakuru","2023-10-03"
